iter	Passed	Remaining
804	20327	30175
805	20353	30151
806	20375	30122
807	20400	30095
808	20426	30072
809	20453	30048
810	20480	30025
811	20507	30003
812	20534	29980
813	20561	29957
814	20585	29930
815	20612	29907
816	20637	29882
817	20663	29858
818	20687	29831
819	20711	29804
820	20738	29781
821	20766	29760
822	20794	29738
823	20819	29712
824	20845	29688
825	20870	29664
826	20898	29642
827	20926	29620
828	20954	29598
829	20977	29571
830	21003	29546
831	21026	29518
832	21053	29495
833	21080	29471
834	21105	29446
835	21133	29424
836	21160	29401
837	21185	29375
838	21212	29353
839	21237	29327
840	21262	29301
841	21287	29276
842	21312	29251
843	21336	29223
844	21363	29201
845	21390	29178
846	21415	29152
847	21443	29130
848	21469	29105
849	21494	29081
850	21523	29060
851	21550	29037
852	21575	29011
853	21599	28984
854	21620	28954
855	21647	28930
856	21669	28900
857	21690	28870
858	21716	28845
859	21740	28818
860	21766	28795
861	21793	28771
862	21819	28747
863	21846	28724
864	21872	28699
865	21895	28671
866	21923	28650
867	21942	28616
868	21970	28593
869	21993	28566
870	22017	28539
871	22039	28510
872	22067	28487
873	22093	28463
874	22120	28440
875	22142	28411
876	22169	28387
877	22193	28360
878	22219	28337
879	22245	28312
880	22270	28286
881	22295	28260
882	22319	28234
883	22344	28208
884	22369	28183
885	22394	28156
886	22419	28131
887	22445	28107
888	22473	28085
889	22498	28059
890	22518	28027
891	22543	28002
892	22570	27979
893	22594	27952
894	22616	27922
895	22640	27896
896	22665	27871
897	22692	27847
898	22718	27823
899	22744	27799
900	22766	27770
901	22788	27739
902	22813	27714
903	22838	27689
904	22864	27665
905	22884	27633
906	22909	27607
907	22931	27578
908	22960	27558
909	22987	27534
910	23013	27509
911	23038	27484
912	23065	27461
913	23088	27433
914	23116	27411
915	23141	27385
916	23166	27359
917	23189	27332
918	23214	27306
919	23238	27280
920	23259	27250
921	23281	27220
922	23304	27192
923	23324	27161
924	23348	27135
925	23368	27103
926	23391	27075
927	23412	27045
928	23432	27014
929	23452	26983
930	23475	26955
931	23496	26925
932	23518	26896
933	23538	26865
934	23559	26835
935	23585	26811
936	23608	26782
937	23634	26758
938	23659	26733
939	23678	26701
940	23700	26672
941	23723	26644
942	23744	26615
943	23767	26587
944	23787	26556
945	23807	26525
946	23830	26498
947	23853	26469
948	23878	26444
949	23902	26418
950	23927	26393
951	23951	26366
952	23974	26339
953	24001	26316
954	24024	26288
955	24049	26263
956	24074	26237
957	24098	26211
958	24119	26181
959	24141	26153
960	24166	26127
961	24188	26099
962	24211	26071
963	24234	26044
964	24258	26018
965	24282	25991
966	24304	25963
967	24328	25936
968	24352	25910
969	24373	25880
970	24395	25852
971	24416	25823
972	24440	25796
973	24461	25767
974	24483	25739
975	24505	25711
976	24525	25680
977	24546	25651
978	24568	25622
979	24590	25594
980	24615	25568
981	24636	25539
982	24658	25511
983	24680	25483
984	24705	25458
